Pot Combo Street Opp_actions, F C R
64 4 3 1,-569 -108 671
64 5 3 0,0 596 0
64 5 3 1,-576 653 737
64 6 3 0,0 426 0
64 6 3 1,-566 700 664
64 7 3 0,0 665 0
64 7 3 1,-614 654 -474
68 0 3 0,-366 0 0
68 0 3 1,-651 -666 0
68 1 3 0,0 -414 0
68 1 3 1,-651 -723 0
68 2 3 0,-512 -414 0
68 2 3 1,-668 -717 0
68 3 3 0,0 630 0
68 3 3 1,-670 -189 0
68 4 3 0,-366 0 0
68 4 3 1,-627 553 0
68 5 3 0,0 -414 0
68 5 3 1,-402 564 0
68 6 3 1,-633 689 0
68 7 3 1,-533 594 0
72 0 3 1,-596 -600 0
72 1 3 1,-685 -628 0
72 2 3 1,-703 336 0
72 3 3 1,-676 364 0
72 4 3 1,-560 636 0
72 5 3 1,0 474 0
72 6 3 1,-426 0 0
72 7 3 1,-623 438 0
